d,quantity,info
309,2.0 cups,longganisa
310,1.0 tsp,basil
311,0.25 lb,broccoli
312,0.5 Tbsp,brown sugar
313,28.0 oz,canned tomatoes
314,0.05 servings,cracked pepper
315,2.0 oz,feta
316,2.0 cloves,garlic
317,1.0 Tbsp,olive oil
318,1.0 servings,onion
319,13.0 oz,penne pasta
320,0.75 tsp,salt
321,12.0 oz,sausage
322,0.25 lb,spinach
323,6.0 oz,tomato paste
324,1.0 slicesslices,apple
325,12.0 oz,brie
326,0.666666666667 cup,brown sugar
327,8.0 servings,crackers
328,0.666666666667 cup,kahlua
329,0.666666666667 cup,walnuts
330,2.0 Tbsp,apple cider vinegar
331,2.0 servings,beetroot
332,2.0 tsp,dijon mustard
333,1.0 tsp,maple syrup
334,0.333333333333 C,mint
335,2.0 Tbsp,olive oil
336,2.0 servings,Salt & Pepper
337,4.0 servings,apples
338,0.25 teaspoon,baking powder
339,1.5 cups,buttermilk
340,8.0 servings,caramel sauce
341,0.5 teaspoon,cinnamon
342,1.0 servings,egg
343,1.0 cup,flour
344,0.25 teaspoon,ground nutmeg
345,0.25 teaspoon,salt
346,2.0 Tablespoons,sugar
347,8.0 servings,vegetable oil
348,1.0 servings,butternut squash
349,1.0 cup,chicken broth
350,4.0 servings,cilantro
351,1.0 tsp,fresh ginger
352,2.0 cloves,garlic
353,2.0 tsp,light brown sugar
354,14.0 oz,light coconut milk
355,4.0 servings,limes
356,1.0 tsp,olive oil
357,1.0 servings,onion
358,4.0 servings,peanuts
359,2.5 tsp,red curry paste
360,0.25 tsp,salt
361,3.0 cups,ice
362,0.25 cup,lime juice
363,1.0 pinch,salt
364,3.0 cups,strawberries
365,0.5 cup,sugar
366,0.75 cup,tequila
367,0.25 cup,triple sec
368,0.5 cup,water
369,1.0 teaspoon,fresh ginger root
370,1.0 clove,garlic
371,1.0 servings,green onion
372,4.0 servings,salt and pepper
373,2.0 tablespoons,sesame oil
374,2.0 tablespoons,sesame seeds
375,0.5 cup,soy sauce
376,6.0 tablespoons,sugar
377,16.0 ounce,tuna steaks
378,2.25 teaspoons,baking powder
379,0.25 teaspoon,baking soda
380,0.5 cup,butter
381,0.5 cup,buttermilk
382,1.0 servings,egg
383,2.0 cups,flour
384,3.0 tablespoons,granulated sugar
385,8.0 servings,heavy cream
386,2.0 tablespoons,lemon juice
387,2.0 tablespoons,lemon zest
388,0.5 cup,low fat ricotta cheese
389,0.25 teaspoon,salt
390,1.0 cup,strawberries
391,8.0 servings,turbinado sugar
392,1.0 teaspoon,vanilla extract
393,1.0 cup,bbq sauce
394,0.5 teaspoon,black pepper
395,4.0 servings,chicken breasts
396,0.25 teaspoon,fennel seeds
397,4.0 servings,olive oil
398,0.5 teaspoon,salt
399,1.0 head,broccoli
400,1.0 pound,cavatelli pasta
401,0.25 cup,extra virgin olive oil
